what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1305990806677
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305990818941
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305990831766
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1305990843687
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305990847442
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305990848126
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305990857176
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305990862855
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990865071
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990869771
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990872647
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990883746
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305990888131
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990888976
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990894781
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305990898380
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990906523
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990935359
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990943383
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990955456
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990957484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990963205
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305990966198
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990966775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305990976033
