what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305680862870
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305680870014
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305680874615
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305680875175
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305680955314
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305680978660
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305680989649
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305680998044
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305681001883
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305681005893
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305681007681
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305681039420
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305681066518
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305681075050
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305681082617
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305681083046
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305681109704
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1305681113092
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305681115725
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305681118147
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305681120619
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305681122455
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305681122938
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305681148976
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305681164564
