what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308538123817
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538281153
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538347826
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538350119
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538425885
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538430802
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538457617
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1308538469424
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538470684
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538471879
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1308538471950
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1308538490268
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308538492615
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308538495177
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308538499622
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538499937
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538570715
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1308538576565
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538581760
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1308538581806
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538587353
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308538595841
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538597611
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308538667557
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308538702838
