what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308448994663
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308448998200
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308448998402
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449064686
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449066636
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449070468
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449072768
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449083354
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1308449087790
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1308449089563
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1308449089589
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1308449091522
closed,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1308449091523
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449092136
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449093569
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308449094576
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449098033
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449099826
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1308449099904
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1308449099904
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449101165
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308449105170
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1308449108965
opened,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1308449110463
activated,editor,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.DefaultTextEditor",1308449110489
