what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305596936265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305596939287
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305596940728
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305596965285
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305596968368
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305596991527
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1305596991561
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305596997432
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305597004037
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597007933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597263792
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597268913
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597325900
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597333845
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1305597333883
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597335998
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1305597350308
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305597351074
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305597351500
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305597355397
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597356689
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597384610
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597387398
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305597423062
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305597428448
