what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1307276977082
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307276977513
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307276977860
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288179948
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288180898
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288182857
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288185167
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288188939
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1307288189730
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1307288192999
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288220762
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288234448
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307288234897
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307289253910
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20090504,"org.eclipse.ui.externaltools",1307289256211
started,bundle,org.eclipse.ui.browser,3.2.301.v20091215_35x,"org.eclipse.ui.browser",1307289257138
started,bundle,org.eclipse.equinox.p2.ui,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.ui",1307289262072
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1307289262091
started,bundle,org.eclipse.equinox.p2.metadata,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.metadata",1307289262362
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307289264337
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.extensionlocation",1307289266375
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.101.R35x_20100105,"org.eclipse.equinox.p2.updatesite",1307289266877
started,bundle,org.eclipse.equinox.p2.publisher,1.0.1.R35x_20100105,"org.eclipse.equinox.p2.publisher",1307289266896
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.0.101.R35x_v20090721,"org.eclipse.equinox.p2.artifact.repository",1307289267538
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1307289272420
