what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1307846947520
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1307846947843
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846951525
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846952899
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846958492
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846960106
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1307846972463
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1307846973197
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307846974035
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1307846974061
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307846977090
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846981980
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846983380
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307846985539
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307846987300
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846988700
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846990988
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307846992248
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307846994644
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846996985
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307846998277
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307846999180
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847000592
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307847005786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1307847009123
