what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1304882959235
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1304882960579
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304882960880
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304882969059
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304882974551
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1304882976035
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1304882977087
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304882983804
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304882986931
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304882990265
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304882998747
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304882999174
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304883009849
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304883026511
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304883051027
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304883067327
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304883075422
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304883078645
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304883084023
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304883087087
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304883123054
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304883138399
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304883138861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1304883149286
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1304883151657
