what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305423419907
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305423420361
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1305423425617
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305423426645
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305423427063
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305423428790
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305423429989
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305423455931
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305423480038
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305423486763
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305423492970
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305423493483
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305423506310
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305427243285
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305427449961
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305427451070
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305427455540
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305427456302
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1305427459633
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305427465370
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1305427466846
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305427467951
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1305427467988
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.rename",1305427467988
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305427468701
