what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1307847221447
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847224360
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847244510
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1307847251135
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847299745
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847364334
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1307847377034
opened,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1307847377413
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1307847377442
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847380329
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1307847387181
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847390167
activated,editor,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.core.htmlsource.source",1307847390184
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1307847390260
activated,view,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.views.SearchView",1307847390303
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847390435
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847397666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847402321
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847406218
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1307847406256
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847406335
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847407341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847410293
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1307847415610
executed,command,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search.ui.openSearchDialog",1307847415668
