what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1305422506669
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305422507253
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422507973
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422543835
closed,editor,org.eclipse.wst.css.ui,1.0.401.v200907171457,"org.eclipse.wst.css.core.csssource.source",1305422550133
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305422555803
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305422557773
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305422560971
opened,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305422562292
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305422562349
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305422569020
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1305422569351
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305422580528
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422581006
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422597676
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305422605192
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422606073
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422620069
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1305422625543
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422626000
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422797736
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422806001
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422877421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422879287
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1305422886476
