what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1306029588952
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029592785
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029596332
started,bundle,org.eclipse.compare,3.5.2.r35x_20100113-0800,"org.eclipse.compare",1306029598325
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1306029600920
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029602769
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029606443
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029606656
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029614854
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1306029614934
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1306029614934
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029616591
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029625207
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029634984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029691475
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029696750
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029698765
executed,command,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1306029698803
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1306029698803
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029701151
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029704219
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1306029707326
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1306029711709
started,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1306029714954
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1306029715080
