what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308523856595
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308523868065
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523869871
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523889159
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523892927
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523895764
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308523915449
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308523924448
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308523927018
opened,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1308523927374
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1308523927421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1308523932756
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308523936875
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1308523937868
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1308523939085
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308523940321
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308523944049
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1308523945696
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1308523947076
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1308523950474
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523952899
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523957902
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523959549
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523967279
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1308523967783
